prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2010				63	Unrated	Single	Species Tree
2009	DNA	1206	88				
2009	DNA	1595	88				
2009				88	Unrated	Single	Species Tree
2009				88	Unrated	Single	Species Tree
2009	DNA	5497	51				
2009				51	Unrated	Single	Species Tree
2009				51	Unrated	Single	Species Tree
2009				51	Unrated	Single	Species Tree
2009				51	Unrated	Single	Species Tree
2009				51	Unrated	Single	Species Tree
2009				51	Unrated	Consensus	Species Tree
2009	DNA	3786	1340				
2009				378	Unrated	Single	Species Tree
2009				264	Unrated	Single	Species Tree
2009				103	Unrated	Single	Species Tree
2009				346	Unrated	Single	Species Tree
2009				249	Unrated	Single	Species Tree
2009	Protein	8318	8				
2009	Protein	13225	15				
2009	Protein	9781	8				
2009	Protein	12927	15				
2009	Protein	10088	8				
2009	Protein	9286	8				
2009				15	Unrated	Consensus	Species Tree
2009				8	Unrated	Consensus	Species Tree
2009				8	Unrated	Consensus	Species Tree
2009				15	Unrated	Consensus	Species Tree
2009	DNA	11527	21				
2009	DNA	12106	21				
2009				21	Unrated	Consensus	Species Tree
2009	DNA	771	246				
2009	DNA	1140	60				
2009	DNA	771	70				
2009	DNA	1140	385				
2009	DNA	7545	84				
2009	DNA	9456	84				
2009				246	Unrated	Single	Species Tree
2009				84	Unrated	Single	Species Tree
2009				60	Unrated	Single	Species Tree
2009				385	Unrated	Single	Species Tree
2009				84	Unrated	Single	Species Tree
2009				70	Unrated	Single	Species Tree
2010	DNA	2428	125				
2010				88	Unrated	Single	Species Tree
2009	Standard	3596	80				
2009	Standard	3442	66				
2009				66	Unrated	Single	Species Tree
2009				80	Unrated	Single	Species Tree
2003	DNA	950	28				
2003				26	Unrated	Single	Species Tree
2003				26	Unrated	Single	Species Tree
2003				26	Unrated	Single	Species Tree
2003				26	Unrated	Single	Species Tree
2009	DNA	549	29				
2009	DNA	684	29				
2009	DNA	336	29				
2009				29	Unrated	Consensus	Species Tree
2010	DNA	2445	33				
2010				33	Unrated	Consensus	Species Tree
2010	DNA	2138	37				
2010				37	Unrated	Consensus	Species Tree
